1 55 010 010 001
2 20 001 001 100
3 35 010 001 010
4 36 100 100 001
5 19 100 010 100
6 44 001 001 001
7 59 010 010 001
8 31 001 100 100
9 29 100 010 100
1027 010 001 100
1142 010 100 001
1236 010 001 001
1318 010 010 100
1444 001 010 010
1524 100 010 100
1620 100 100 100
1738 010 001 001
1842 001 100 001
1929 001 010 001
2023 001 001 001
2152 010 100 100
2247 010 010 001
2334 100 001 100
2425 100 100 100
2536 010 010 100
2641 010 010 010
2732 010 100 001
2824 100 100 001
2929 010 001 100
3038 001 100 001
