1        F       22     3.67       30              SD            610
2        F       22     3.51       27               D            570
3        F       .      .          30               I            370
4        M       22     2.40       31              SR            480
5        M       24     2.53        .               I            510
6        F       23     3.73       40               I            710
7        M        .     3.90       27               D            660
8        F       28      .         30               R              .
9        M       23     2.46       24              SR            510
10       M       23     2.53       31              SD            450
11       F       32     2.93       37               R            530
12       M        .      .         39               I            680
13       F        .      .         27               .            280
14       M       23     2.90       36               .            500
15       M        .      .         30              SR              .
16       M        .      .         40               R            690
17       M       22     2.29       31              SD            490
18       F       22     2.74       28               D            520
19       M       28     2.22       21               I            300
20       M       27     3.33       27               .            630
21       F       23     3.75       31              SD            680
22       M        .      .         21               I            500
23       M       23     2.49       34               D            410
24       M       23     2.30        .              SR            450
